,MIN,PTS,FGM,FGA,FTM,FTA,REB,AST,STL,BLK,PF
23,20.7285714286,0.25844245348,0.120606478291,0.192281185389,0.0165403170227,0.0344589937974,0.339076498966,0.111647139904,0.0227429359063,0.078566505858,0.152308752584
24,6.25,0.44,0.18,0.4,0.06,0.08,0.04,0.08,0.12,0.04,0.08
25,14.6964285714,0.466585662211,0.177399756987,0.376670716889,0.0619684082625,0.0789793438639,0.244228432564,0.0303766707169,0.0121506682868,0.0267314702309,0.0838396111786
26,35.1234567901,0.588752196837,0.208787346221,0.454833040422,0.151142355009,0.198594024605,0.102284710018,0.0576449912127,0.0274165202109,0.0161687170475,0.0579964850615
27,4.42105263158,0.333333333333,0.0952380952381,0.321428571429,0.107142857143,0.119047619048,0.27380952381,0.0,0.0595238095238,0.0,0.0952380952381
28,20.6551724138,0.191986644407,0.0651085141903,0.210350584307,0.0283806343907,0.0333889816361,0.116861435726,0.0317195325543,0.0233722871452,0.00834724540902,0.0567612687813
29,35.4754098361,0.68438077634,0.258780036969,0.524953789279,0.150646950092,0.198706099815,0.289741219963,0.0536044362292,0.0360443622921,0.0577634011091,0.0683918669131
30,13.6176470588,0.410367170626,0.14686825054,0.359611231102,0.0313174946004,0.0421166306695,0.0669546436285,0.0259179265659,0.0237580993521,0.00539956803456,0.0691144708423
31,18.625,0.285607755406,0.0954511558538,0.247576435496,0.0216256524981,0.0350484712901,0.17076808352,0.0387770320656,0.0193885160328,0.0119313944817,0.0641312453393
32,19.5438596491,0.453321364452,0.157989228007,0.37881508079,0.116696588869,0.173249551167,0.127468581688,0.10592459605,0.024236983842,0.0116696588869,0.0754039497307
33,15.2222222222,0.416869424169,0.157339821573,0.311435523114,0.102189781022,0.133819951338,0.311435523114,0.0413625304136,0.0170316301703,0.0421735604217,0.122465531225
34,33.3943661972,0.383382539013,0.149304091101,0.3369886124,0.0463939266132,0.0552509489667,0.11218894981,0.0607338675664,0.0105440742303,0.00421762969211,0.059890341628
35,21.8507462687,0.405054644809,0.154371584699,0.352459016393,0.0539617486339,0.0792349726776,0.0887978142077,0.0676229508197,0.0327868852459,0.00614754098361,0.0935792349727
36,33.3684210526,0.455441640379,0.179810725552,0.401813880126,0.0378548895899,0.0485015772871,0.0867507886435,0.0623028391167,0.0461356466877,0.00749211356467,0.0646687697161
37,14.5238095238,0.249180327869,0.0819672131148,0.229508196721,0.0426229508197,0.055737704918,0.101639344262,0.0491803278689,0.0229508196721,0.0196721311475,0.131147540984
