Position,Nom,Matchs,Fautes soumises,Passes ratées,Dernières passes avant un tir,Tirs cadrés se dirigeant soit au poteau entrant soit à la barre entrante,Tirs attrappés,Tirs non cadrés,Buts,Hors jeu,Penalty raté,Interceptions,Fautes commises,But contre son camp (c.s.c) ou autogoal,Cartons jaunes,Cartons rouges,Ballons attrapés (que pour les gardiens),Penaltys attrapés (que pour les gardiens),Buts soufferts (que pour les gardiens)
ZAG,Paulo André,20,15,49,1,0,3,4,2,0,0,9,13,0,3,0,0,0,0
MEI,Moisés,28,35,103,0,0,16,23,3,0,0,47,22,0,5,0,0,0,0
ATA,Marcelo Cirino,23,36,48,0,0,6,13,2,5,0,5,15,0,2,0,0,0,0
ZAG,Pedro Henrique,10,4,15,0,0,1,1,0,0,0,6,5,0,2,0,0,0,0
ATA,Ricardo Oliveira,12,11,17,2,1,7,11,6,15,0,0,12,0,3,0,0,0,0
ZAG,Gum,28,10,80,1,0,4,11,1,4,0,31,34,1,4,0,0,0,0
LAT,Ceará,14,14,35,0,0,0,4,0,1,0,6,4,0,0,0,0,0,0
ATA,Emerson,6,9,8,1,1,1,0,0,1,0,3,6,0,1,0,0,0,0
MEI,Cleiton Xavier,25,13,65,6,0,5,4,3,2,0,12,22,0,2,0,0,0,0
ATA,Robinho,25,42,80,4,0,10,12,11,25,0,13,31,0,2,0,0,0,0
ZAG,Kanu,19,7,33,0,0,5,7,3,9,0,11,25,0,8,0,0,0,0
ZAG,Matheus Ferraz,25,13,68,0,0,2,5,2,3,0,16,41,0,3,1,0,0,0
MEI,Uillian Correia,25,23,53,2,0,2,3,0,0,0,40,48,0,7,1,0,0,0
MEI,Ferrugem,20,30,51,0,0,8,4,2,1,0,24,23,0,8,0,0,0,0
MEI,Marcos Guilherme,18,10,27,1,0,4,3,0,3,0,9,5,0,0,0,0,0,0
ATA,Robson,4,5,3,0,0,2,3,0,1,0,0,8,0,1,0,0,0,0
ATA,Everton Santos,10,11,10,0,0,0,2,0,1,0,0,7,0,0,0,0,0,0
MEI,Willians,7,9,8,0,0,0,1,0,0,0,5,4,0,1,0,0,0,0
MEI,Tony,6,1,15,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
MEI,Diego Souza,26,40,87,5,1,17,17,10,5,0,16,38,0,3,1,0,0,0
ATA,Rafael Moura,22,33,46,0,3,17,20,7,28,0,7,57,0,5,1,0,0,0
ATA,Everton,21,25,43,1,1,18,17,2,5,0,15,21,0,2,0,0,0,0
MEI,Hernani,22,17,74,0,1,10,10,5,2,0,30,34,0,8,0,0,0,0
ZAG,Paulão,23,20,54,0,0,5,9,0,3,1,33,24,0,10,0,0,0,0
LAT,Léo,22,42,80,3,0,0,2,1,0,0,27,40,0,9,1,0,0,0
MEI,César González,11,13,27,1,0,1,2,0,1,0,5,7,0,1,0,0,0,0
ATA,Gabriel Jesus,21,76,54,4,1,20,20,11,22,0,14,52,0,8,0,0,0,0
ATA,Ábila,15,26,35,1,2,11,8,7,23,0,1,14,0,5,0,0,0,0
MEI,Dodô,16,34,60,1,0,3,7,3,1,0,15,16,0,5,0,0,0,0
LAT,Carlinhos,12,11,25,0,1,0,7,0,1,0,5,13,0,2,0,0,0,0
GOL,Denis,29,1,12,0,0,0,0,0,0,0,0,0,0,1,0,42,1,30
LAT,Mena,13,6,45,1,0,3,0,0,4,0,20,23,1,4,1,0,0,0
MEI,Renato,8,6,7,0,0,0,1,0,0,0,6,15,0,2,0,0,0,0
ATA,Juninho,7,4,5,0,0,2,0,0,2,0,2,5,0,1,0,0,0,0
ZAG,Neris,18,20,39,1,0,0,0,0,1,0,26,20,0,7,0,0,0,0
LAT,William,25,30,120,4,0,9,8,0,2,0,47,50,0,6,0,0,0,0
ATA,Rogério,24,40,40,2,1,15,18,5,5,0,9,24,0,2,0,0,0,0
MEI,Sérgio Manoel,14,21,34,0,0,3,2,1,1,0,16,19,0,5,0,0,0,0
ATA,Vinícius Tanque,9,6,10,1,0,1,3,0,5,0,1,9,0,2,0,0,0,0
LAT,William Matheus,16,21,38,1,1,1,3,0,6,0,17,18,1,2,0,0,0,0
GOL,Júlio César,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10
ATA,Marion,6,8,9,0,0,2,0,0,1,0,7,7,0,1,0,0,0,0
MEI,João Vitor,26,42,82,2,0,2,4,0,0,0,54,87,0,10,0,0,0,0
MEI,Gabriel Xavier,26,30,65,3,1,7,10,3,1,0,26,30,0,3,1,0,0,0
GOL,Edson Kölln,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10
