Position,Nom,Matchs,Fautes soumises,Passes ratées,Dernières passes avant un tir,Tirs cadrés se dirigeant soit au poteau entrant soit à la barre entrante,Tirs attrappés,Tirs non cadrés,Buts,Hors jeu,Penalty raté,Interceptions,Fautes commises,But contre son camp (c.s.c) ou autogoal,Cartons jaunes,Cartons rouges,Ballons attrapés (que pour les gardiens),Penaltys attrapés (que pour les gardiens),Buts soufferts (que pour les gardiens)
GOL,Follmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOL,Vitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOL,Gustavo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOL,Douglas Friedrich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOL,Elisson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOL,Luiz Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOL,Daniel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOL,William Menezes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOL,Uilson,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
GOL,César,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOL,Ivan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOL,Magrão,26,4,12,0,0,0,0,0,0,0,0,1,0,1,1,44,0,38
GOL,Fernando Leal,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ZAG,Dedé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Gustavo Henrique,24,14,45,1,0,4,8,1,0,0,20,20,0,7,1,0,0,0
ZAG,Cleberson,4,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ZAG,Lyanco,11,7,23,0,0,1,0,1,0,0,5,18,1,2,0,0,0,0
ZAG,Gabriel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Roger,10,2,14,0,0,0,2,0,0,0,4,6,0,2,0,0,0,0
ZAG,Lucas Veríssimo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Marcelo,12,10,10,1,0,1,3,0,1,0,9,11,0,2,0,0,0,0
ZAG,Guilherme Mattis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Breno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
