,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,0.625,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
243,Zydrunas Ilgauskas,MIA,36,72,51,21,1145,360,162,319,50.8,0,1,0,36,46,78.3,108,179,287,26,52,23,58,185,3,0,212
244,Keith Bogans,CHI,31,82,62,20,1461,359,124,307,40.4,90,237,38,21,32,65.6,19,129,148,101,41,38,9,113,0,0,168
244,Nikola Pekovic,MIN,25,65,15,50,887,359,136,263,51.7,0,0,0,87,114,76.3,90,103,193,27,91,18,35,181,1,0,-213
246,Matt Barnes,LAL,31,53,36,17,1020,356,131,279,47,34,107,31.8,60,77,77.9,73,155,228,71,58,39,22,127,2,0,24
247,Yi Jianlian,WAS,23,63,17,46,1112,355,145,347,41.8,3,13,23.1,62,91,68.1,79,169,248,25,51,27,32,115,3,0,-219
248,Patty Mills,POR,22,64,40,24,783,353,135,328,41.2,47,133,35.3,36,47,76.6,19,32,51,109,62,27,1,63,0,0,-96
249,Zaza Pachulia,ATL,27,79,43,36,1244,349,107,232,46.1,0,0,0,135,179,75.4,119,214,333,58,69,34,22,184,4,0,-137
250,Eric Maynor,OKC,24,82,55,27,1199,348,134,333,40.2,37,96,38.5,43,59,72.9,25,96,121,238,77,35,6,96,0,0,192
251,Trevor Booker,WAS,23,65,15,50,1063,346,139,253,54.9,0,1,0,68,101,67.3,98,153,251,35,38,29,42,115,5,0,-173
252,Marreese Speights,PHI,23,64,33,31,733,344,144,291,49.5,1,4,25,55,73,75.3,64,146,210,30,40,8,19,120,0,0,56
253,Earl Watson,UTA,32,80,37,43,1567,343,126,307,41,36,107,33.6,55,82,67.1,52,130,182,278,116,61,17,146,1,0,9
254,Shaquille O'Neal,BOS,39,37,28,9,752,341,134,201,66.7,0,0,0,73,131,55.7,48,130,178,26,56,16,42,120,3,0,193
255,Alonzo Gee,CLE,24,56,16,40,1118,331,121,264,45.8,17,51,33.3,72,92,78.3,62,120,182,38,55,40,18,94,0,0,-272
255,Jason Smith,NOH,25,77,44,33,1102,331,136,307,44.3,0,2,0,59,70,84.3,89,152,241,36,53,26,32,150,0,0,-5
257,Nick Collison,OKC,30,71,48,23,1524,329,137,242,56.6,0,0,0,55,73,75.3,119,197,316,69,55,42,31,210,1,0,308
258,Patrick Patterson,HOU,22,52,29,23,868,328,149,267,55.8,0,2,0,30,42,71.4,86,114,200,41,31,17,37,77,4,0,8
259,Andres Nocioni,PHI,31,54,23,31,931,327,118,277,42.6,42,118,35.6,49,61,80.3,19,150,169,45,47,14,15,100,2,0,-138
260,Gary Forbes,DEN,26,63,39,24,791,326,124,273,45.4,19,58,32.8,59,87,67.8,28,88,116,49,46,23,6,77,0,0,-34
261,AJ Price,IND,24,50,22,28,795,323,114,320,35.6,41,149,27.5,54,81,66.7,16,56,72,111,53,29,1,61,0,0,28
261,Chris Douglas-Roberts,MIL,24,44,19,25,884,323,117,273,42.9,15,46,32.6,74,89,83.1,7,81,88,50,35,29,13,73,0,0,-25
263,Manny Harris,CLE,21,54,7,47,933,321,108,289,37.4,34,92,37,71,93,76.3,36,104,140,85,63,31,7,65,1,0,-237
264,Brendan Haywood,DAL,31,72,50,22,1331,320,128,223,57.4,0,1,0,64,177,36.2,129,247,376,19,51,16,74,146,2,0,-13
265,Steve Blake,LAL,31,79,55,24,1582,319,110,306,35.9,73,193,37.8,26,30,86.7,19,137,156,170,73,40,3,99,0,0,78
266,Carlos Arroyo,BOS,31,64,43,21,1185,310,120,273,44,31,69,44.9,39,47,83,20,83,103,125,60,21,1,71,0,0,102
267,Anthony Randolph,MIN,21,40,11,29,589,305,123,264,46.6,1,4,25,58,86,67.4,43,117,160,33,53,22,24,62,5,0,-139
268,Christian Eyenga,CLE,22,44,10,34,947,303,130,306,42.5,25,91,27.5,18,28,64.3,27,96,123,35,47,34,28,78,0,0,-202
269,Henry Walker,NYK,23,61,32,29,784,298,104,236,44.1,59,153,38.6,31,44,70.5,16,106,122,34,37,21,6,81,0,0,89
270,Andris Biedrins,GSW,25,59,26,33,1397,294,142,266,53.4,0,0,0,10,31,32.3,145,281,426,60,57,52,52,198,3,0,-232
271,Samardo Samuels,CLE,22,37,4,33,702,288,110,241,45.6,0,3,0,68,110,61.8,75,83,158,17,53,15,18,88,2,0,-141
272,Dahntay Jones,IND,30,45,22,23,589,283,100,214,46.7,14,39,35.9,69,90,76.7,4,61,65,33,31,20,7,70,0,0,-37
273,Anderson Varejao,CLE,28,31,8,23,994,282,114,216,52.8,0,2,0,54,81,66.7,98,203,301,45,40,27,38,87,7,0,-172
274,Peja Stojakovic,DAL,34,33,25,8,617,280,100,227,44.1,57,136,41.9,23,25,92,14,61,75,29,17,13,2,24,0,0,121
275,Jonny Flynn,MIN,22,53,10,43,983,279,108,296,36.5,31,100,31,32,42,76.2,12,65,77,182,113,34,3,58,0,0,-178
276,Tiago Splitter,SAS,26,60,43,17,738,278,101,191,52.9,0,1,0,76,140,54.3,72,129,201,26,32,29,17,91,1,0,-25
277,Marcus Camby,POR,37,59,32,27,1541,277,117,294,39.8,0,1,0,43,70,61.4,182,424,606,121,62,40,92,140,8,0,29
278,Johan Petro,NJN,25,77,22,55,893,273,129,290,44.5,0,4,0,15,28,53.6,62,150,212,44,46,34,34,178,0,0,-157
279,Josh Childress,PHX,28,54,23,31,894,272,121,214,56.5,1,16,6.3,29,59,49.2,69,86,155,42,44,33,23,68,0,0,-130
280,James Johnson,TOR,24,38,15,23,821,271,108,237,45.6,8,34,23.5,47,71,66.2,37,105,142,89,64,33,37,95,0,0,-67
280,Marquis Daniels,BOS,30,49,37,12,938,271,114,232,49.1,4,21,19,39,57,68.4,24,89,113,64,38,39,22,63,0,0,2
282,DJ White,CHA,24,47,23,24,685,268,111,219,50.7,0,2,0,46,64,71.9,43,115,158,19,14,12,20,77,0,0,-34
283,Ronny Turiaf,NYK,28,64,32,32,1141,267,103,163,63.2,0,0,0,61,98,62.2,64,143,207,92,41,35,73,160,2,0,-11
284,Sebastian Telfair,MIN,26,37,11,26,711,266,97,241,40.2,28,78,35.9,44,60,73.3,17,37,54,111,64,25,3,64,0,0,-90
285,Shelden Williams,NYK,27,59,38,21,911,264,103,220,46.8,0,0,0,58,75,77.3,93,180,273,32,43,23,26,126,0,0,-38
286,Larry Sanders,MIL,22,60,28,32,872,260,116,268,43.3,0,0,0,28,50,56,59,119,178,16,38,22,72,117,1,0,-146
287,Craig Smith,LAC,27,48,17,31,586,258,104,188,55.3,0,5,0,50,68,73.5,43,74,117,31,33,16,7,84,0,0,-55
288,Jamario Moon,LAC,31,59,20,39,1042,255,101,248,40.7,38,123,30.9,15,17,88.2,23,142,165,52,22,28,33,65,0,0,-149
288,Pooh Jeter,SAC,27,62,16,46,858,255,106,259,40.9,6,30,20,37,41,90.2,9,61,70,162,51,29,2,54,0,0,-89
290,Chris Andersen,DEN,32,45,29,16,732,250,82,137,59.9,0,1,0,86,135,63.7,75,144,219,20,25,23,58,79,2,0,90
291,Greivis Vasquez,MEM,24,70,41,29,860,249,95,233,40.8,25,86,29.1,34,44,77.3,12,61,73,151,70,22,4,83,0,0,-63
291,Quentin Richardson,ORL,31,57,37,20,955,249,87,255,34.1,42,146,28.8,33,44,75,39,139,178,38,33,25,5,74,0,0,65
293,James Posey,IND,34,49,19,30,839,240,81,241,33.6,67,212,31.6,11,15,73.3,10,137,147,34,24,24,6,103,0,0,-27
294,Daequan Cook,OKC,24,43,30,13,598,239,79,181,43.6,65,154,42.2,16,20,80,8,64,72,20,17,14,1,51,0,0,77
295,Jason Maxiell,DET,28,57,17,40,930,237,93,189,49.2,0,0,0,51,99,51.5,66,107,173,17,44,24,21,92,0,0,-135
296,Ekpe Udoh,GSW,24,58,28,30,1029,236,97,222,43.7,0,0,0,42,64,65.6,80,101,181,40,48,22,86,144,0,0,106
296,Rodrigue Beaubois,DAL,23,28,19,9,496,236,94,223,42.2,25,83,30.1,23,30,76.7,7,45,52,64,47,20,8,76,0,0,-18
298,Matt Carroll,CHA,30,54,24,30,582,235,89,199,44.7,17,46,37,40,52,76.9,12,56,68,23,23,17,6,43,0,0,-64
299,Omer Asik,CHI,24,82,62,20,989,229,78,141,55.3,0,0,0,73,145,50.3,112,194,306,32,64,20,56,153,1,0,233
300,Mike Miller,MIA,31,41,27,14,838,228,81,202,40.1,43,118,36.4,23,34,67.6,38,146,184,51,41,20,2,88,3,0,-32
301,Josh Powell,ATL,28,54,29,25,653,224,94,208,45.2,0,1,0,36,45,80,49,86,135,22,53,5,5,78,0,0,-118
302,Jermaine Taylor,SAC,24,34,8,26,482,223,94,196,48,14,45,31.1,21,28,75,26,36,62,32,46,14,5,39,0,0,-100
302,T.J. Ford,IND,28,41,17,24,773,223,91,236,38.6,6,32,18.8,35,48,72.9,17,64,81,141,63,35,8,69,0,0,-12
304,Rasual Butler,CHI,32,47,17,30,769,222,79,237,33.3,46,136,33.8,18,27,66.7,10,67,77,27,24,8,15,37,0,0,-88
305,Acie Law,GSW,26,51,20,31,726,215,81,186,43.5,6,36,16.7,47,64,73.4,12,51,63,84,43,32,0,61,0,0,-133
306,Kurt Thomas,CHI,38,52,39,13,1178,211,95,186,51.1,1,1,100,20,32,62.5,75,226,301,60,42,32,42,164,0,0,161
307,Cartier Martin,WAS,26,52,19,33,542,209,71,182,39,39,99,39.4,28,40,70,20,54,74,18,16,18,6,52,0,0,19
308,Ike Diogu,LAC,27,36,16,20,470,207,83,148,56.1,0,0,0,41,62,66.1,41,74,115,2,22,3,3,72,1,0,-69
309,Joey Graham,CLE,29,39,9,30,586,202,82,179,45.8,9,30,30,29,36,80.6,8,76,84,18,28,6,7,73,0,0,-76
310,Lou Amundson,GSW,28,46,20,26,691,200,83,183,45.4,0,0,0,34,87,39.1,81,104,185,17,24,14,33,87,0,0,-89
310,Luther Head,SAC,28,36,8,28,586,200,68,164,41.5,25,64,39.1,39,50,78,16,44,60,70,32,10,9,43,0,0,-106
312,Stephen Graham,NJN,29,59,19,40,959,198,81,200,40.5,5,21,23.8,31,38,81.6,17,106,123,40,38,14,1,106,0,0,-298
313,Ronnie Price,UTA,28,59,31,28,717,197,74,210,35.2,20,69,29,29,39,74.4,22,39,61,56,55,42,5,106,0,0,11
314,Brian Cook,LAC,30,40,8,32,447,193,72,170,42.4,34,79,43,15,24,62.5,19,77,96,15,25,12,11,75,1,0,-29
314,Luke Harangody,CLE,23,49,29,20,641,193,79,206,38.3,16,66,24.2,19,26,73.1,40,103,143,30,16,15,17,80,1,0,-77
316,Julian Wright,TOR,24,52,9,43,766,188,82,160,51.3,2,10,20,22,43,51.2,47,71,118,58,43,39,20,45,0,0,-27
316,Quincy Pondexter,NOH,23,66,35,31,734,188,73,180,40.6,18,50,36,24,34,70.6,23,65,88,28,16,17,10,63,0,0,-68
318,Darnell Jackson,SAC,25,59,18,41,486,187,77,158,48.7,3,11,27.3,30,49,61.2,49,45,94,14,23,12,3,61,0,0,-75
318,Jeff Foster,IND,34,56,25,31,940,187,80,167,47.9,0,3,0,27,48,56.3,160,190,350,46,26,24,31,127,0,0,52
320,Derrick Brown,NYK,23,49,22,27,575,185,74,131,56.5,5,10,50,32,60,53.3,41,58,99,33,35,20,10,59,0,0,-43
321,Von Wafer,BOS,25,58,45,13,553,184,67,159,42.1,18,67,26.9,32,38,84.2,7,42,49,35,20,18,5,39,0,0,4
322,Damien Wilkins,ATL,31,52,25,27,676,180,69,137,50.4,2,10,20,40,56,71.4,23,67,90,41,21,27,9,72,0,0,-122
323,Jeremy Evans,UTA,23,49,22,27,463,178,76,115,66.1,0,1,0,26,37,70.3,36,61,97,24,19,17,17,50,0,0,-15
324,Dominic McGuire,CHA,25,52,18,34,760,174,72,182,39.6,0,2,0,30,39,76.9,63,136,199,43,25,10,33,94,1,0,-76
324,Kendrick Perkins,OKC,26,29,21,8,742,174,67,130,51.5,0,0,0,40,72,55.6,62,170,232,26,56,9,26,91,1,0,97
326,Ian Mahinmi,DAL,24,56,39,17,488,173,55,98,56.1,0,2,0,63,82,76.8,43,77,120,8,25,14,15,105,1,0,66
327,Xavier Henry,MEM,20,38,19,19,527,165,65,160,40.6,2,17,11.8,33,52,63.5,9,28,37,18,13,11,3,48,0,0,-46
328,Earl Clark,ORL,23,42,28,14,464,163,68,158,43,0,5,0,27,47,57.4,37,64,101,9,28,8,18,45,0,0,-54
328,Semih Erden,CLE,24,41,31,10,595,163,62,111,55.9,0,0,0,39,60,65,37,81,118,20,34,15,24,104,0,0,-36
328,Timofey Mozgov,DEN,24,45,27,18,524,163,63,133,47.4,0,0,0,37,52,71.2,46,75,121,15,35,15,25,84,1,0,-39
331,Kosta Koufos,DEN,22,50,17,33,434,160,68,150,45.3,0,2,0,24,43,55.8,57,73,130,7,31,10,25,59,0,0,-52
331,Lazar Hayward,MIN,24,42,10,32,419,160,55,154,35.7,17,60,28.3,33,42,78.6,23,47,70,28,19,12,7,44,0,0,-117
333,Ben Uzoh,NJN,23,42,6,36,438,158,61,144,42.4,3,8,37.5,33,56,58.9,30,31,61,69,25,13,8,29,0,0,-81
333,Leon Powe,MEM,27,30,10,20,328,158,59,119,49.6,0,2,0,40,72,55.6,24,39,63,7,12,10,4,44,0,0,-76
335,Ben Wallace,DET,36,54,20,34,1238,154,67,149,45,1,2,50,19,57,33.3,129,221,350,72,44,54,54,81,1,0,-171
335,Kevin Seraphin,WAS,21,58,15,43,635,154,66,147,44.9,0,0,0,22,31,71,80,72,152,10,42,17,28,126,0,0,-199
337,Joel Anthony,MIA,28,75,55,20,1463,153,53,99,53.5,0,0,0,47,73,64.4,104,162,266,24,36,10,93,194,0,0,123
338,Josh Howard,WAS,31,18,3,15,409,152,58,162,35.8,7,29,24.1,29,47,61.7,18,56,74,24,20,13,5,34,0,0,-89
339,Brian Cardinal,DAL,34,56,37,19,618,145,43,100,43,42,87,48.3,17,18,94.4,10,49,59,40,17,24,7,82,0,0,-27
340,Alexis Ajinca,TOR,23,34,6,28,340,143,59,133,44.4,12,34,35.3,13,18,72.2,17,61,78,10,18,11,19,73,0,0,7
341,Brandan Wright,NJN,23,37,14,23,379,141,60,117,51.3,0,0,0,21,31,67.7,31,58,89,12,14,11,17,34,1,0,-67
342,Juwan Howard,MIA,38,57,43,14,592,139,55,125,44,0,0,0,29,35,82.9,36,86,122,23,25,10,4,61,0,0,20
342,Solomon Jones,IND,26,39,15,24,528,139,49,121,40.5,0,1,0,41,62,66.1,45,68,113,30,35,12,22,94,0,0,-62
344,Jon Brockman,MIL,24,63,28,35,677,136,48,94,51.1,0,0,0,40,59,67.8,74,110,184,18,24,14,3,119,0,0,36
345,Delonte West,BOS,27,24,13,11,453,135,55,120,45.8,12,33,36.4,13,15,86.7,6,31,37,64,30,20,10,29,0,0,-83
345,Joey Dorsey,TOR,27,43,11,32,522,135,52,99,52.5,0,0,0,31,65,47.7,79,111,190,27,39,24,17,78,4,0,-13
347,David Andersen,NOH,31,40,17,23,373,134,56,121,46.3,8,23,34.8,14,22,63.6,20,64,84,13,22,5,9,40,0,0,20
347,Francisco Elson,UTA,35,62,34,28,610,134,54,113,47.8,0,0,0,26,31,83.9,35,80,115,33,32,21,14,84,0,0,-55
349,Reggie Evans,TOR,31,30,11,19,798,132,42,103,40.8,0,1,0,48,88,54.5,119,226,345,38,39,29,6,89,2,0,-176
350,Aaron Gray,NOH,26,41,21,20,531,129,56,99,56.6,0,0,0,17,34,50,59,112,171,16,32,11,12,96,2,0,32
350,Jermaine O'Neal,BOS,32,24,13,11,431,129,50,109,45.9,0,1,0,29,43,67.4,25,63,88,12,27,2,30,65,1,0,15
352,Erick Dampier,MIA,35,51,36,15,815,128,52,89,58.4,0,1,0,24,44,54.5,53,124,177,22,32,14,47,82,1,0,113
353,Rodney Carney,MEM,27,27,13,14,335,127,46,110,41.8,17,38,44.7,18,27,66.7,13,35,48,11,16,12,5,33,0,0,-83
354,Chris Duhon,ORL,28,51,36,15,774,125,49,129,38,13,52,25,14,25,56,9,43,52,118,61,16,2,30,0,0,0
355,Zabian Dowdell,PHX,26,24,14,10,292,121,51,125,40.8,3,10,30,16,17,94.1,5,15,20,51,29,20,2,30,0,0,-47
356,Dan Gadzuric,NJN,33,42,13,29,463,118,54,129,41.9,0,1,0,10,27,37,71,64,135,14,29,13,29,91,0,0,-63
357,Sundiata Gaines,NJN,25,24,9,15,301,111,42,105,40,9,38,23.7,18,36,50,13,25,38,42,27,16,1,25,0,0,-35
358,Anthony Carter,NYK,36,33,20,13,463,110,45,106,42.5,12,40,30,8,8,100,7,44,51,69,39,27,6,49,0,0,9
358,Armon Johnson,POR,22,38,20,18,277,110,46,101,45.5,5,12,41.7,13,22,59.1,11,25,36,45,38,5,1,31,0,0,-24
358,Damion James,NJN,23,25,7,18,403,110,46,103,44.7,0,3,0,18,28,64.3,17,68,85,20,25,16,12,36,0,0,-30
361,Troy Murphy,BOS,31,35,13,22,466,109,42,114,36.8,5,33,15.2,20,30,66.7,22,91,113,23,20,15,3,47,0,0,-126
362,Kyrylo Fesenko,UTA,24,53,29,24,456,106,44,100,44,0,1,0,18,46,39.1,34,74,108,18,25,4,16,90,0,0,39
362,Terrence Williams,HOU,24,21,7,14,290,106,43,115,37.4,6,22,27.3,14,21,66.7,4,47,51,38,33,9,0,25,0,0,-74
364,Jawad Williams,CLE,28,26,6,20,391,104,41,126,32.5,13,45,28.9,9,12,75,7,41,48,22,16,9,3,34,0,0,-85
364,Steve Novak,SAS,28,30,18,12,215,104,35,67,52.2,26,46,56.5,8,8,100,4,24,28,3,4,1,5,14,0,0,-40
364,Udonis Haslem,MIA,31,13,8,5,345,104,44,86,51.2,0,0,0,16,20,80,29,77,106,6,14,7,3,39,4,0,53
367,Ish Smith,MEM,22,43,21,22,442,101,43,115,37.4,3,10,30,12,21,57.1,7,40,47,79,34,18,2,37,0,0,-48
368,Tony Battie,PHI,35,38,14,24,377,100,45,96,46.9,2,3,66.7,8,14,57.1,17,82,99,12,12,5,15,59,0,0,-33
369,Jason Collins,ATL,32,49,27,22,593,96,34,71,47.9,1,1,100,27,41,65.9,30,72,102,22,26,9,9,97,0,0,90
370,James Anderson,SAS,22,26,17,9,286,94,31,81,38.3,18,46,39.1,14,18,77.8,2,21,23,18,13,3,6,24,0,0,-49
371,Othyus Jeffers,WAS,25,17,8,9,322,93,31,65,47.7,1,4,25,30,46,65.2,25,42,67,20,14,17,0,32,1,0,17
372,Hilton Armstrong,ATL,26,53,15,38,489,92,37,76,48.7,2,4,50,16,33,48.5,42,89,131,14,28,18,21,84,0,0,-100
373,Luke Walton,LAL,31,54,39,15,485,91,38,116,32.8,8,34,23.5,7,10,70,9,58,67,62,31,9,4,38,0,0,34
374,Chris Quinn,SAS,27,41,33,8,292,81,33,91,36.3,11,37,29.7,4,8,50,3,22,25,42,12,5,1,29,0,0,-36
374,Derrick Caracter,LAL,23,41,29,12,215,81,32,66,48.5,0,0,0,17,23,73.9,19,24,43,7,19,4,10,47,0,0,-56
376,Earl Barron,POR,29,21,10,11,306,79,32,99,32.3,0,0,0,15,24,62.5,32,44,76,11,16,8,6,46,0,0,-34
377,Jeremy Lin,GSW,22,29,10,19,284,76,28,72,38.9,1,5,20,19,25,76,12,22,34,42,18,33,9,31,0,0,8
377,Sasha Pavlovic,BOS,27,31,13,18,362,76,29,72,40.3,12,31,38.7,6,10,60,1,31,32,16,12,10,7,34,0,0,-78
379,Hamed Haddadi,MEM,26,31,18,13,168,75,30,58,51.7,0,1,0,15,23,65.2,24,44,68,5,11,2,13,29,1,0,46
379,Roger Mason Jr.,NYK,30,26,10,16,319,75,26,77,33.8,16,44,36.4,7,10,70,5,38,43,20,6,6,2,25,0,0,-56
381,DaJuan Summers,DET,23,22,5,17,199,74,28,69,40.6,9,21,42.9,9,20,45,2,10,12,2,13,3,1,21,0,0,-22
381,Jared Jeffries,NYK,29,42,20,22,601,74,30,86,34.9,2,9,22.2,12,29,41.4,62,54,116,36,21,31,17,75,0,0,103
383,Eduardo Najera,CHA,34,31,14,17,372,69,26,72,36.1,11,34,32.4,6,11,54.5,14,30,44,20,13,11,6,52,0,0,10
383,Melvin Ely,DEN,33,30,18,12,366,69,28,51,54.9,0,0,0,13,21,61.9,27,47,74,14,14,4,11,50,0,0,7
385,Joel Przybilla,CHA,31,36,18,18,520,64,25,44,56.8,0,0,0,14,27,51.9,37,108,145,13,29,5,15,79,0,0,-76
385,Mehmet Okur,UTA,32,13,5,8,168,64,22,62,35.5,5,16,31.3,15,20,75,9,21,30,19,7,4,4,18,0,0,-32
387,Devin Ebanks,LAL,21,20,15,5,118,62,21,51,41.2,2,5,40,18,23,78.3,15,12,27,2,6,4,5,7,0,0,-42
388,DJ Mbenga,NOH,30,41,20,21,330,59,23,49,46.9,0,0,0,13,18,72.2,35,51,86,6,21,6,27,52,0,0,-38
389,Garrett Temple,CHA,25,24,12,12,230,57,20,68,29.4,10,37,27,7,17,41.2,1,22,23,32,23,11,6,24,0,0,-32
389,Jeff Adrien,GSW,25,23,7,16,196,57,23,54,42.6,0,0,0,11,19,57.9,23,35,58,10,9,4,5,28,0,0,2
389,Quinton Ross,NJN,30,36,7,29,353,57,26,59,44.1,0,3,0,5,14,35.7,10,20,30,10,7,3,6,40,0,0,16
392,Jason Williams,MEM,35,27,19,8,295,54,22,67,32.8,10,38,26.3,0,0,0,3,27,30,52,18,11,1,8,0,0,46
393,Hasheem Thabeet,HOU,24,47,23,24,373,53,17,40,42.5,0,0,0,19,35,54.3,24,51,75,4,17,9,16,76,0,0,-124
394,Avery Bradley,BOS,20,31,21,10,162,52,23,67,34.3,0,5,0,6,12,50,4,13,17,12,16,9,0,20,0,0,-57
395,Mustafa Shakur,WAS,26,22,5,17,159,51,21,59,35.6,1,10,10,8,15,53.3,7,15,22,25,18,5,3,15,0,0,-7
395,Yao Ming,HOU,30,5,1,4,91,51,18,37,48.6,0,0,0,15,16,93.8,7,20,27,4,7,0,8,13,0,0,-27
397,Garret Siler,PHX,24,21,10,11,101,45,17,31,54.8,0,0,0,11,22,50,16,12,28,3,10,1,4,20,0,0,-16
397,Sean Marks,POR,35,29,15,14,208,45,19,44,43.2,2,2,100,5,8,62.5,16,24,40,4,11,3,5,44,0,0,-74
399,Michael Redd,MIL,31,10,6,4,135,44,18,45,40,4,17,23.5,4,4,100,0,8,8,12,4,2,1,4,0,0,10
400,Dominique Jones,DAL,22,18,10,8,135,42,14,45,31.1,0,4,0,14,17,82.4,6,19,25,19,10,5,3,7,0,0,-22
401,Danny Green,SAS,24,8,5,3,91,41,17,35,48.6,7,19,36.8,0,0,0,3,12,15,2,5,2,1,7,0,0,18
401,Royal Ivey,OKC,29,25,20,5,155,41,16,38,42.1,7,16,43.8,2,2,100,2,14,16,7,5,6,1,17,0,0,-35
403,Larry Owens,WAS,28,12,7,5,143,40,15,32,46.9,6,13,46.2,4,9,44.4,1,14,15,8,5,9,5,18,0,0,13
404,Lance Stephenson,IND,20,12,3,9,115,37,13,39,33.3,0,5,0,11,14,78.6,1,17,18,21,16,4,0,14,0,0,-1
404,Willie Warren,LAC,21,19,5,14,134,37,13,35,37.1,5,15,33.3,6,8,75,1,11,12,27,8,6,0,16,0,0,23
406,Luke Babbitt,POR,22,24,11,13,137,36,15,55,27.3,3,16,18.8,3,9,33.3,6,24,30,6,8,2,2,15,1,0,-33
407,Jamaal Magloire,MIA,33,18,14,4,158,35,13,22,59.1,0,0,0,9,18,50,17,44,61,3,5,4,2,26,0,0,13
408,Trey Johnson,LAL,26,8,3,5,94,34,12,33,36.4,1,3,33.3,9,10,90,2,5,7,11,5,1,1,12,0,0,-20
409,Chris Johnson,POR,25,14,10,4,139,33,9,21,42.9,0,0,0,15,20,75,12,20,32,3,10,3,9,21,0,0,-56
410,Charlie Bell,GSW,32,19,7,12,171,32,12,43,27.9,6,21,28.6,2,4,50,6,12,18,13,6,6,1,13,0,0,0
410,Etan Thomas,ATL,33,13,6,7,82,32,10,21,47.6,0,0,0,12,15,80,6,17,23,2,5,1,4,11,0,0,-26
412,Kyle Weaver,UTA,25,5,1,4,69,28,9,25,36,3,7,42.9,7,8,87.5,2,8,10,7,7,2,2,3,0,0,0
413,Byron Mullens,OKC,22,13,8,5,85,25,9,28,32.1,0,0,0,7,14,50,6,18,24,0,8,2,3,11,0,0,-18
414,Malik Allen,ORL,33,18,9,9,178,23,11,31,35.5,0,0,0,1,2,50,12,20,32,4,3,1,4,30,0,0,-55
415,Mario West,NJN,27,6,1,5,116,22,9,21,42.9,1,4,25,3,5,60,2,9,11,10,2,7,0,13,0,0,-7
416,Brian Scalabrine,CHI,33,18,12,6,88,20,10,19,52.6,0,5,0,0,0,0,1,7,8,6,5,3,4,18,0,0,-7
416,DeSagana Diop,CHA,29,16,6,10,181,20,8,24,33.3,0,0,0,4,11,36.4,12,28,40,7,11,4,15,26,0,0,-40
418,Jarron Collins,POR,32,28,11,17,181,19,6,21,28.6,0,0,0,7,10,70,14,10,24,2,7,4,1,29,0,0,5
419,Cole Aldrich,OKC,22,18,11,7,141,18,8,15,53.3,0,0,0,2,4,50,13,22,35,4,8,5,7,30,0,0,7
419,Lester Hudson,WAS,26,11,3,8,73,18,6,24,25,4,15,26.7,2,4,50,1,4,5,17,7,4,1,10,0,0,-13
421,Sherron Collins,CHA,24,20,8,12,66,17,7,25,28,2,10,20,1,1,100,0,5,5,8,4,2,0,2,0,0,-15
422,Darius Songaila,PHI,33,10,4,6,71,16,7,15,46.7,0,0,0,2,4,50,2,8,10,2,4,0,0,16,0,0,-20
422,Jason Kapono,PHI,30,24,9,15,112,16,7,28,25,1,8,12.5,1,2,50,3,8,11,4,2,2,1,4,0,0,35
422,Renaldo Balkman,NYK,26,8,6,2,63,16,6,13,46.2,1,2,50,3,4,75,2,5,7,2,1,4,2,15,0,0,3
425,Maurice Ager,MIN,27,4,1,3,29,15,6,11,54.5,3,4,75,0,0,0,0,2,2,1,4,1,0,4,0,0,-6
426,Hamady Ndiaye,WAS,24,16,3,13,80,14,4,5,80,0,0,0,6,12,50,2,5,7,0,3,2,5,18,0,0,-33
426,Ime Udoka,SAS,33,20,16,4,130,14,5,21,23.8,0,8,0,4,8,50,5,14,19,13,5,8,1,14,0,0,-15
428,Jerry Stackhouse,MIA,36,7,5,2,50,12,3,12,25,1,4,25,5,7,71.4,1,6,7,3,2,0,2,3,0,0,-4
429,DeMarre Carroll,HOU,24,12,7,5,50,10,4,12,33.3,0,0,0,2,2,100,2,6,8,4,0,1,1,5,0,0,7
430,Andy Rautins,NYK,24,5,2,3,24,8,3,7,42.9,1,4,25,1,2,50,0,1,1,3,7,1,0,0,0,0,-11
430,Craig Brackins,PHI,23,3,0,3,33,8,4,16,25,0,5,0,0,0,0,2,2,4,1,0,1,0,3,0,0,-11
430,Joe Smith,LAL,35,16,14,2,69,8,3,16,18.8,0,0,0,2,2,100,3,18,21,4,5,0,4,13,0,0,-9
430,Mike Harris,HOU,28,4,3,1,16,8,3,6,50,0,0,0,2,4,50,2,3,5,1,1,0,1,2,0,0,18
434,Fabricio Oberto,POR,36,5,4,1,45,7,3,5,60,0,0,0,1,2,50,3,4,7,0,3,0,0,10,0,0,-20
434,Pape Sy,ATL,23,3,0,3,21,7,2,6,33.3,0,1,0,3,3,100,2,1,3,2,3,1,0,1,0,0,-7
436,Antonio Daniels,PHI,36,4,1,3,35,6,2,5,40,0,2,0,2,2,100,0,5,5,2,1,0,0,0,0,0,12
436,Marcus Banks,TOR,29,3,1,2,22,6,0,2,0,0,0,0,6,8,75,0,1,1,3,2,1,0,4,0,0,9
