,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,0.625,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
206,Jordan Crawford,WAS,22,42,17,25,1027,490,192,500,38.4,33,128,25.8,73,84,86.9,31,74,105,117,83,39,3,63,2,1,-229
207,Dante Cunningham,CHA,24,78,39,39,1637,482,218,472,46.2,1,13,7.7,45,62,72.6,96,181,277,43,51,54,43,177,3,0,-139
207,Will Bynum,DET,28,61,23,38,1125,482,182,406,44.8,16,50,32,102,122,83.6,15,59,74,195,83,52,4,113,0,0,-173
209,Matt Bonner,SAS,31,66,48,18,1432,481,172,371,46.4,105,230,45.7,32,43,74.4,60,179,239,60,27,26,21,110,1,0,257
210,Shaun Livingston,CHA,25,73,31,42,1261,479,185,397,46.6,1,4,25,108,125,86.4,29,120,149,164,88,47,29,109,0,0,-71
211,Paul George,IND,21,61,29,32,1265,476,179,395,45.3,41,138,29.7,77,101,76.2,37,187,224,65,70,62,26,127,0,0,-8
212,James Jones,MIA,30,81,57,24,1549,475,146,346,42.2,123,287,42.9,60,72,83.3,23,137,160,43,21,29,19,129,0,0,241
213,Maurice Evans,WAS,32,73,36,37,1549,461,177,424,41.7,55,167,32.9,52,58,89.7,52,104,156,45,33,34,14,129,0,0,-262
214,Al-Farouq Aminu,LAC,20,81,31,50,1452,457,160,406,39.4,45,143,31.5,92,119,77.3,75,192,267,60,103,59,25,121,0,0,-189
215,Shawne Williams,NYK,25,64,33,31,1323,454,164,385,42.6,85,212,40.1,41,49,83.7,60,179,239,47,46,39,51,164,1,0,2
216,Martell Webster,MIN,24,46,7,39,1094,453,152,340,44.7,55,132,41.7,94,122,77,36,111,147,53,58,28,9,101,0,0,-252
217,Mario Chalmers,MIA,25,70,52,18,1579,447,155,388,39.9,83,231,35.9,54,62,87.1,12,134,146,177,91,76,7,158,0,0,264
218,Caron Butler,DAL,31,29,21,8,867,436,170,378,45,28,65,43.1,68,88,77.3,22,96,118,46,49,28,8,59,1,0,148
218,Linas Kleiza,TOR,26,39,12,27,1032,436,178,406,43.8,39,131,29.8,41,65,63.1,37,140,177,40,65,19,7,99,4,0,-62
220,Anthony Tolliver,MIN,26,65,12,53,1362,434,141,313,45,47,115,40.9,105,131,80.2,92,203,295,82,49,28,28,145,3,0,-80
221,Robin Lopez,PHX,23,67,33,34,991,432,179,357,50.1,0,0,0,74,100,74,82,134,216,8,48,18,45,143,2,0,-46
222,Chris Wilcox,DET,28,57,22,35,995,424,187,322,58.1,0,1,0,50,89,56.2,95,176,271,43,43,29,17,145,3,0,-6
223,Tyrus Thomas,CHA,24,41,18,23,861,419,156,331,47.1,0,3,0,107,136,78.7,65,159,224,29,65,30,66,113,4,0,-20
